,드라마 이름,방송사,부작,요일시간,배우_방송,배우_영화,연출_드라마,연출_영화,작가_드라마,작가_영화,강수량,기온,스포츠 대회,장르,평균시청률,start
572,피리부는 사나이,tvN,16,3C,26.0,23.6,15.0,1.0,5.0,0.0,2.8725490196078436,10.564705882352941,0,드라마,2.1312499999999996,2016-03-07
573,결혼계약,MBC,16,24C,47.8,8.2,11.0,0.0,13.0,1.0,3.4411764705882355,10.352941176470589,0,드라마,19.5875,2016-03-05
574,마이 리틀 베이비,MBC,16,11D,26.8,7.6,10.0,0.0,8.0,1.0,3.51,10.274000000000001,0,드라마,1.73125,2016-03-05
575,돌아와요 아저씨,SBS,16,9C,52.0,46.8,11.0,0.0,0.0,0.0,2.4450980392156865,8.131372549019606,0,"판타지,로맨스,코메디",4.4624999999999995,2016-02-24
576,태양의 후예,KBS2,16,9C,21.4,18.4,22.0,0.0,13.0,2.0,2.4450980392156865,8.131372549019606,0,로맨스,28.58125,2016-02-24
577,장영실,KBS1,24,24C,28.0,9.6,15.0,1.0,3.0,0.0,1.468235294117647,2.248235294117647,0,사극,11.549999999999999,2016-01-02
578,베이비시터,KBS2,4,3C,22.0,19.0,0.0,0.0,0.0,0.0,1.0444444444444445,8.499999999999998,0,드라마,3.225,2016-03-14
579,동네의 영웅,OCN,16,24C,19.8,10.8,13.0,0.0,0.0,0.0,2.0155172413793103,2.6724137931034484,0,액션,1.192857142857143,2016-01-23
580,마담 앙트완,JTBC,16,21B,18.0,5.4,12.0,1.0,10.0,1.0,2.103921568627451,1.723529411764706,0,로맨스,0.71875,2016-01-22
581,시그널,tvN,16,21B,22.4,27.4,14.0,0.0,9.0,1.0,2.103921568627451,1.723529411764706,0,"수사물,서스펜스",8.825,2016-01-22
582,한번 더 해피엔딩,MBC,16,9C,19.6,12.8,7.0,0.0,0.0,0.0,2.103921568627451,1.4333333333333331,0,드라마,5.2250000000000005,2016-01-20
583,무림학교,KBS2,16,3C,18.6,13.0,7.0,0.0,0.0,0.0,1.9172413793103449,0.9793103448275863,0,드라마,3.5250000000000004,2016-01-11
